User_ID,Product_ID,Age,Gender,Marital_Status,City_Category,Stay_In_Current_City_Years,Product_Category,Product_Subcategory_1,Product_Subcategory_2,Purchase,Age_Encoded,Stay_In_Current_City_Years_Encoded,Purchase_Is_Outlier,Purchase_Clipped,Gender_Encoded,Marital_Status_Encoded
1044096,P00017122,46-50,F,1,B,1,10,45.0,0,1810,4,1,False,1810,0,1
1071818,P00074517,36-45,M,0,A,3,11,27.0,0,12351,3,3,False,12351,1,0
1022986,P00013694,36-45,M,1,A,5+,4,28.0,0,127,3,5,False,127,1,1
1094684,P00049122,36-45,M,1,A,1,16,9.0,8,2214,3,1,False,2214,1,1
1004157,P00006469,46-50,M,1,A,5+,3,,0,7142,4,5,False,7142,1,1
1047008,P00024740,18-25,M,0,A,2,5,16.0,0,353,1,2,False,353,1,0
1056762,P00067925,46-50,F,1,B,5+,17,24.0,16,117,4,5,False,117,0,1
1047329,P00003426,36-45,F,1,B,1,16,,0,447,3,1,False,447,0,1
1042051,P00074117,46-50,F,1,B,5+,11,20.0,0,7831,4,5,False,7831,0,1
1032071,P00039594,51-55,F,1,B,4,3,,0,704,5,4,False,704,0,1
1072568,P00066948,55+,F,1,C,2,5,36.0,0,99,6,2,False,99,0,1
1074295,P00080577,51-55,F,1,C,2,17,40.0,5,232,5,2,False,232,0,1
1048919,P00017863,46-50,M,1,A,5+,10,,11,2392,4,5,False,2392,1,1
1027784,P00036068,51-55,F,1,B,5+,16,25.0,0,1526,5,5,False,1526,0,1
1062032,P00053024,51-55,F,1,C,3,16,30.0,0,62,5,3,False,62,0,1
1077785,P00037226,36-45,M,0,A,4,10,35.0,0,1708,3,4,False,1708,1,0
1021379,P00045216,26-35,M,0,B,2,17,12.0,17,120,2,2,False,120,1,0
1007401,P00032125,55+,F,1,C,4,1,,10,7401,6,4,False,7401,0,1
1091869,P00016119,26-35,M,0,A,4,3,22.0,0,14440,2,4,False,14440,1,0
1093278,P00013981,51-55,F,1,B,3,17,25.0,11,1351,5,3,False,1351,0,1
1003631,P00062668,51-55,F,1,B,3,17,30.0,0,323,5,3,False,323,0,1
1078484,P00050272,46-50,F,1,B,3,16,40.0,0,565,4,3,False,565,0,1
1062696,P00036296,55+,F,1,C,4,10,4.0,0,555,6,4,False,555,0,1
1055098,P00044362,55+,F,1,C,5+,11,30.0,16,11200,6,5,False,11200,0,1
1014904,P00041041,55+,F,1,C,1,4,32.0,0,426,6,1,False,426,0,1
1041685,P00043051,46-50,M,1,B,3,16,39.0,11,2216,4,3,False,2216,1,1
1011906,P00091846,36-45,M,0,A,5+,19,21.0,0,14550,3,5,False,14550,1,0
1072890,P00011660,51-55,F,1,C,2,10,12.0,0,462,5,2,False,462,0,1
1017796,P00048097,55+,F,1,C,5+,18,,0,28940,6,5,False,28940,0,1
1061073,P00017097,51-55,F,1,C,5+,6,42.0,11,10408,5,5,False,10408,0,1
1093022,P00070476,26-35,M,0,A,5+,3,,0,26670,2,5,False,26670,1,0
1058607,P00027196,51-55,F,1,B,4,5,6.0,0,338,5,4,False,338,0,1
1025815,P00080538,46-50,F,1,B,1,16,20.0,18,591,4,1,False,591,0,1
1001945,P00003708,26-35,M,0,A,4,2,24.0,0,2038,2,4,False,2038,1,0
1029536,P00019538,26-35,M,0,A,3,10,6.0,0,315,2,3,False,315,1,0
1015127,P00043352,51-55,F,1,C,1,1,28.0,0,6458,5,1,False,6458,0,1
1076567,P00093027,26-35,M,0,A,3,3,13.0,11,17690,2,3,False,17690,1,0
1027363,P00074593,36-45,M,0,A,2,1,42.0,0,4746,3,2,False,4746,1,0
1060540,P00003913,0-17,M,0,A,3,4,30.0,0,428,0,3,False,428,1,0
1015803,P00038249,26-35,M,0,B,1,13,11.0,0,17180,2,1,False,17180,1,0
1044365,P00055611,0-17,M,0,A,2,5,,13,382,0,2,False,382,1,0
1007401,P00034704,55+,F,1,C,4,9,40.0,14,7144,6,4,False,7144,0,1
1020503,P00093806,55+,F,1,C,3,17,27.0,0,1825,6,3,False,1825,0,1
1050289,P00034573,36-45,M,1,A,4,18,42.0,0,20440,3,4,False,20440,1,1
1079610,P00000238,51-55,F,1,C,5+,6,10.0,17,10712,5,5,False,10712,0,1
1084732,P00028267,55+,F,1,C,4,12,14.0,0,6918,6,4,False,6918,0,1
1062959,P00021034,36-45,M,0,A,3,12,10.0,0,11500,3,3,False,11500,1,0
1015727,P00056515,55+,F,1,C,1,1,42.0,19,5868,6,1,False,5868,0,1
1050440,P00093027,36-45,M,1,A,1,3,13.0,11,17690,3,1,False,17690,1,1
1082545,P00071843,26-35,M,0,A,5+,20,11.0,13,26950,2,5,False,26950,1,0
1093895,P00026245,51-55,F,1,C,2,1,35.0,19,5544,5,2,False,5544,0,1
1014904,P00099239,55+,F,1,C,1,15,20.0,0,287,6,1,False,287,0,1
1030768,P00023333,51-55,F,1,C,2,18,35.0,10,25460,5,2,False,25460,0,1
1058710,P00044517,51-55,F,1,B,5+,12,14.0,11,8896,5,5,False,8896,0,1
1097043,P00090982,26-35,M,0,A,1,11,14.0,9,6586,2,1,False,6586,1,0
1018596,P00054250,51-55,F,1,C,5+,4,24.0,0,297,5,5,False,297,0,1
1096315,P00083181,55+,F,1,C,2,3,36.0,20,2601,6,2,False,2601,0,1
1057674,P00029768,51-55,F,1,C,4,8,36.0,0,6774,5,4,False,6774,0,1
1051229,P00045432,46-50,M,1,B,5+,14,45.0,0,4380,4,5,False,4380,1,1
1098047,P00031665,26-35,M,0,A,2,17,30.0,0,176,2,2,False,176,1,0
1009959,P00062911,51-55,F,1,C,2,10,36.0,0,1396,5,2,False,1396,0,1
1080811,P00052179,0-17,M,0,A,1,5,18.0,0,272,0,1,False,272,1,0
1052209,P00033397,26-35,M,0,B,1,20,24.0,0,23080,2,1,False,23080,1,0
1000304,P00090602,46-50,M,1,B,5+,19,,0,26000,4,5,False,26000,1,1
1012990,P00000809,55+,F,1,C,2,9,7.0,0,8092,6,2,False,8092,0,1
1072202,P00086060,18-25,M,0,A,1,11,21.0,0,8050,1,1,False,8050,1,0
1029718,P00035438,0-17,M,0,A,1,13,28.0,10,15700,0,1,False,15700,1,0
1008525,P00080312,55+,F,1,C,4,11,40.0,14,4667,6,4,False,4667,0,1
1004434,P00064892,36-45,F,1,B,2,17,,17,303,3,2,False,303,0,1
1062081,P00055038,46-50,F,1,B,3,3,,11,25410,4,3,False,25410,0,1
1036521,P00050310,55+,F,1,C,5+,1,27.0,16,6780,6,5,False,6780,0,1
1023422,P00091846,36-45,M,0,B,1,19,21.0,0,14550,3,1,False,14550,1,0
1057851,P00075833,46-50,F,1,B,2,14,,0,4813,4,2,False,4813,0,1
1051983,P00018730,0-17,M,0,A,1,16,18.0,0,103,0,1,False,103,1,0
1059149,P00045019,51-55,F,1,C,3,17,32.0,12,234,5,3,False,234,0,1
1029536,P00089742,26-35,M,0,A,3,2,25.0,19,899,2,3,False,899,1,0
1067463,P00026645,46-50,M,1,A,2,17,39.0,0,2098,4,2,False,2098,1,1
1012269,P00017721,46-50,F,1,B,2,16,,13,139,4,2,False,139,0,1
1090013,P00079375,46-50,F,1,B,4,7,10.0,6,10702,4,4,False,10702,0,1
1096185,P00087033,26-35,M,0,A,1,13,13.0,9,16810,2,1,False,16810,1,0
1058164,P00017097,26-35,M,0,A,5+,6,42.0,11,10408,2,5,False,10408,1,0
1014457,P00081507,26-35,M,0,A,2,9,,19,11183,2,2,False,11183,1,0
1076498,P00029215,36-45,M,0,A,5+,17,,0,489,3,5,False,489,1,0
1047713,P00087911,26-35,M,0,A,1,4,30.0,15,133,2,1,False,133,1,0
1059646,P00026653,26-35,M,0,A,2,3,44.0,0,17050,2,2,False,17050,1,0
1083878,P00038305,51-55,F,1,C,4,1,36.0,0,5874,5,4,False,5874,0,1
1005415,P00018480,0-17,M,0,A,4,8,30.0,11,617,0,4,False,617,1,0
1035209,P00019514,55+,F,1,C,1,16,42.0,0,130,6,1,False,130,0,1
1022034,P00014365,51-55,F,1,C,4,20,12.0,18,23900,5,4,False,23900,0,1
1015808,P00059109,46-50,F,1,B,2,5,,11,365,4,2,False,365,0,1
